height,allInterlinks,validInterlinks,missingPtrs
1257891,6,32,-1
1257892,4,32,-1
1257893,5,32,-1
1257894,5,32,-1
1257895,6,32,-1
1257896,5,32,-1
1257897,6,32,-1
1257898,6,32,-1
1257899,6,32,-1
1257900,7,32,-1
1257901,3,32,-1
1257902,4,32,-1
1257903,4,32,-1
1257904,5,32,-1
1257905,5,32,-1
1257906,5,32,-1
1257907,5,32,-1
1257908,6,32,-1
1257909,5,32,-1
1257910,4,32,-1
1257911,5,32,-1
1257912,5,32,-1
1257913,6,32,-1
1257914,4,32,-1
1257915,4,32,-1
1257916,5,32,-1
1257917,6,32,-1
1257918,7,32,-1
1257919,4,32,-1
1257920,5,32,-1
1257921,5,32,-1
1257922,6,32,-1
1257923,5,32,-1
1257924,6,32,-1
1257925,6,32,-1
1257926,7,32,-1
1257927,5,32,-1
1257928,6,32,-1
1257929,6,32,-1
1257930,5,32,-1
1257931,6,32,-1
1257932,7,32,-1
1257933,5,32,-1
1257934,6,32,-1
1257935,7,32,-1
1257936,6,32,-1
1257937,5,32,-1
1257938,6,32,-1
1257939,6,32,-1
1257940,7,32,-1
1257941,8,32,-1
1257942,6,32,-1
1257943,7,32,-1
1257944,7,32,-1
1257945,7,32,-1
1257946,8,32,-1
1257947,6,32,-1
1257948,7,32,-1
1257949,7,32,-1
1257950,6,32,-1
1257951,6,32,-1
1257952,6,32,-1
1257953,5,32,-1
1257954,5,32,-1
1257955,6,32,-1
1257956,7,32,-1
1257957,6,32,-1
1257958,7,32,-1
1257959,7,32,-1
1257960,5,32,-1
1257961,6,32,-1
1257962,1,33,-1
1257963,2,33,-1
1257964,2,33,-1
1257965,2,33,-1
1257966,3,33,-1
1257967,3,33,-1
1257968,3,33,-1
1257969,3,33,-1
1257970,4,33,-1
1257971,3,33,-1
1257972,4,33,-1
1257973,2,33,-1
1257974,3,33,-1
1257975,3,33,-1
1257976,4,33,-1
1257977,3,33,-1
1257978,4,33,-1
1257979,3,33,-1
1257980,4,33,-1
1257981,5,33,-1
1257982,2,33,-1
1257983,3,33,-1
1257984,4,33,-1
1257985,4,33,-1
1257986,2,33,-1
1257987,3,33,-1
1257988,3,33,-1
1257989,4,33,-1
1257990,4,33,-1
1257991,3,33,-1
1257992,4,33,-1
1257993,4,33,-1
1257994,5,33,-1
1257995,6,33,-1
1257996,2,33,-1
1257997,3,33,-1
1257998,3,33,-1
1257999,4,33,-1
1258000,4,33,-1
1258001,5,33,-1
1258002,5,33,-1
1258003,4,33,-1
1258004,4,33,-1
1258005,5,33,-1
1258006,5,33,-1
1258007,5,33,-1
1258008,5,33,-1
1258009,6,33,-1
1258010,5,33,-1
1258011,5,33,-1
1258012,6,33,-1
1258013,5,33,-1
1258014,5,33,-1
1258015,6,33,-1
1258016,5,33,-1
1258017,4,33,-1
1258018,5,33,-1
1258019,6,33,-1
1258020,5,33,-1
1258021,6,33,-1
1258022,5,33,-1
1258023,6,33,-1
1258024,6,33,-1
1258025,6,33,-1
1258026,4,33,-1
1258027,5,33,-1
1258028,5,33,-1
1258029,5,33,-1
1258030,6,33,-1
1258031,4,33,-1
1258032,5,33,-1
1258033,5,33,-1
1258034,5,33,-1
1258035,5,33,-1
1258036,4,33,-1
1258037,5,33,-1
1258038,5,33,-1
1258039,6,33,-1
1258040,5,33,-1
1258041,5,33,-1
1258042,6,33,-1
1258043,7,33,-1
1258044,7,33,-1
1258045,8,33,-1
1258046,7,33,-1
1258047,6,33,-1
1258048,7,33,-1
1258049,4,33,-1
1258050,5,33,-1
1258051,5,33,-1
1258052,6,33,-1
1258053,7,33,-1
1258054,6,33,-1
1258055,7,33,-1
1258056,4,33,-1
1258057,5,33,-1
1258058,6,33,-1
1258059,6,33,-1
1258060,6,33,-1
1258061,6,33,-1
1258062,6,33,-1
1258063,5,33,-1
1258064,6,33,-1
1258065,5,33,-1
1258066,6,33,-1
1258067,6,33,-1
1258068,6,33,-1
1258069,7,33,-1
1258070,6,33,-1
1258071,6,33,-1
1258072,6,33,-1
1258073,6,33,-1
1258074,7,33,-1
1258075,6,33,-1
1258076,6,33,-1
1258077,6,33,-1
1258078,5,33,-1
1258079,6,33,-1
1258080,6,33,-1
1258081,5,33,-1
1258082,6,33,-1
1258083,6,33,-1
1258084,7,33,-1
1258085,6,33,-1
1258086,7,33,-1
1258087,7,33,-1
1258088,4,33,-1
1258089,5,33,-1
1258090,5,33,-1
1258091,5,33,-1
1258092,6,33,-1
1258093,6,33,-1
1258094,6,33,-1
1258095,7,33,-1
1258096,8,33,-1
1258097,7,33,-1
1258098,7,33,-1
1258099,7,33,-1
1258100,8,33,-1
1258101,8,33,-1
1258102,6,33,-1
1258103,7,33,-1
1258104,8,33,-1
1258105,8,33,-1
1258106,5,33,-1
1258107,6,33,-1
1258108,6,33,-1
1258109,7,33,-1
1258110,6,33,-1
1258111,7,33,-1
1258112,7,33,-1
1258113,6,33,-1
1258114,7,33,-1
1258115,6,33,-1
1258116,7,33,-1
1258117,7,33,-1
1258118,7,33,-1
1258119,7,33,-1
1258120,7,33,-1
1258121,8,33,-1
1258122,9,33,-1
1258123,5,33,-1
1258124,6,33,-1
1258125,2,33,-1
1258126,3,33,-1
1258127,3,33,-1
1258128,4,33,-1
1258129,5,33,-1
1258130,5,33,-1
1258131,6,33,-1
1258132,5,33,-1
1258133,5,33,-1
1258134,4,33,-1
1258135,4,33,-1
1258136,4,33,-1
1258137,5,33,-1
1258138,5,33,-1
1258139,5,33,-1
1258140,6,33,-1
1258141,6,33,-1
1258142,6,33,-1
1258143,7,33,-1
1258144,6,33,-1
1258145,6,33,-1
1258146,3,33,-1
1258147,4,33,-1
1258148,4,33,-1
1258149,4,33,-1
1258150,5,33,-1
1258151,5,33,-1
1258152,4,33,-1
1258153,5,33,-1
1258154,3,33,-1
1258155,4,33,-1
1258156,4,33,-1
1258157,5,33,-1
1258158,5,33,-1
1258159,4,33,-1
1258160,5,33,-1
1258161,3,33,-1
1258162,4,33,-1
1258163,4,33,-1
1258164,5,33,-1
1258165,5,33,-1
1258166,5,33,-1
1258167,5,33,-1
1258168,5,33,-1
1258169,6,33,-1
1258170,5,33,-1
1258171,5,33,-1
1258172,5,33,-1
1258173,5,33,-1
1258174,5,33,-1
1258175,1,33,-1
1258176,2,33,-1
1258177,2,33,-1
1258178,2,33,-1
1258179,3,33,-1
1258180,2,33,-1
1258181,3,33,-1
1258182,3,33,-1
1258183,4,33,-1
1258184,4,33,-1
1258185,3,33,-1
1258186,2,33,-1
1258187,3,33,-1
1258188,3,33,-1
1258189,3,33,-1
1258190,4,33,-1
1258191,5,33,-1
1258192,4,33,-1
1258193,5,33,-1
1258194,4,33,-1
1258195,5,33,-1
1258196,4,33,-1
1258197,5,33,-1
1258198,5,33,-1
1258199,5,33,-1
1258200,5,33,-1
1258201,6,33,-1
1258202,6,33,-1
1258203,5,33,-1
1258204,6,33,-1
1258205,3,33,-1
1258206,3,33,-1
1258207,4,33,-1
1258208,4,33,-1
1258209,3,33,-1
1258210,4,33,-1
1258211,4,33,-1
1258212,5,33,-1
1258213,4,33,-1
1258214,5,33,-1
1258215,5,33,-1
1258216,5,33,-1
1258217,5,33,-1
1258218,5,33,-1
1258219,5,33,-1
1258220,4,33,-1
1258221,5,33,-1
1258222,3,33,-1
1258223,4,33,-1
1258224,4,33,-1
1258225,5,33,-1
1258226,6,33,-1
1258227,5,33,-1
1258228,5,33,-1
1258229,6,33,-1
1258230,7,33,-1
1258231,6,33,-1
1258232,7,33,-1
1258233,8,33,-1
1258234,6,33,-1
1258235,7,33,-1
1258236,7,33,-1
1258237,7,33,-1
1258238,5,33,-1
1258239,6,33,-1
1258240,7,33,-1
1258241,7,33,-1
